data,cena
2021-02-23,3.867
2021-02-24,3.882
2021-02-25,3.909
2021-02-26,3.929
2021-02-27,3.948
2021-03-02,3.963
2021-03-03,3.976
2021-03-04,3.975
2021-03-05,3.995
2021-03-06,4.030
2021-03-09,4.071
2021-03-10,4.072
2021-03-11,4.072
2021-03-12,4.090
2021-03-13,4.115
2021-03-16,4.124
2021-03-17,4.123
2021-03-18,4.111
2021-03-19,4.077
2021-03-20,4.038
2021-03-23,4.041
2021-03-24,4.025
2021-03-25,4.044
2021-03-26,4.047
2021-03-27,4.069
2021-03-30,4.091
2021-03-31,4.101
2021-04-01,4.131
2021-04-02,4.126
2021-04-07,4.119
2021-04-08,4.084
2021-04-09,4.056
2021-04-10,4.038
2021-04-13,4.043
2021-04-14,4.055
2021-04-15,4.080
2021-04-16,4.105
2021-04-17,4.122
2021-04-20,4.130
2021-04-21,4.097
2021-04-22,4.084
2021-04-23,4.054
2021-04-24,4.056
2021-04-27,4.033
2021-04-28,4.036
2021-04-29,4.042
2021-04-30,4.056
2021-05-01,4.072
2021-05-04,4.068
2021-05-05,4.101
2021-05-06,4.129
2021-05-07,4.138
2021-05-08,4.126
2021-05-11,4.108
2021-05-12,4.113
2021-05-13,4.124
2021-05-14,4.095
2021-05-15,4.086
2021-05-18,4.096
2021-05-19,4.099
2021-05-20,4.052
2021-05-21,4.041
2021-05-22,4.034
2021-05-25,4.047
2021-05-26,4.049
2021-05-27,4.057
2021-05-28,4.081
2021-05-29,4.104
2021-06-02,4.111
2021-06-03,4.124
2021-06-05,4.137
2021-06-06,4.125
2021-06-08,4.134
2021-06-09,4.143
2021-06-10,4.148
2021-06-11,4.160
2021-06-12,4.168
2021-06-15,4.212
2021-06-16,4.229
2021-06-17,4.249
2021-06-18,4.270
2021-06-19,4.301
2021-06-21,4.312
2021-06-22,4.327
2021-06-23,4.359
2021-06-24,4.375
2021-06-25,4.399
2021-06-26,4.389
2021-06-29,4.388
2021-06-30,4.399
2021-07-01,4.431
2021-07-02,4.463
2021-07-03,4.497
2021-07-06,4.513
2021-07-07,4.495
2021-07-08,4.477
2021-07-09,4.476
2021-07-10,4.521
2021-07-13,4.525
2021-07-14,4.541
2021-07-15,4.570
2021-07-16,4.544
2021-07-17,4.536
2021-07-20,4.509
2021-07-21,4.475
2021-07-22,4.446
2021-07-23,4.456
2021-07-24,4.461
2021-07-27,4.493
2021-07-28,4.530
2021-07-29,4.545
2021-07-30,4.557
2021-07-31,4.560
2021-08-03,4.529
2021-08-04,4.539
2021-08-05,4.504
2021-08-06,4.516
2021-08-07,4.518
2021-08-10,4.494
2021-08-11,4.499
2021-08-12,4.498
2021-08-13,4.497
2021-08-14,4.492
2021-08-17,4.468
2021-08-18,4.449
2021-08-19,4.424
2021-08-20,4.370
2021-08-21,4.356
2021-08-24,4.362
2021-08-25,4.382
2021-08-26,4.428
2021-08-27,4.455
2021-08-28,4.485
2021-09-01,4.507
2021-09-02,4.482
2021-09-03,4.487
2021-09-04,4.483
2021-09-07,4.468
2021-09-08,4.467
2021-09-09,4.472
2021-09-10,4.456
2021-09-11,4.461
2021-09-14,4.464
2021-09-15,4.462
2021-09-16,4.466
2021-09-17,4.469
2021-09-18,4.465
2021-09-21,4.467
2021-09-22,4.447
2021-09-23,4.465
2021-09-24,4.462
2021-09-25,4.502
2021-09-28,4.537
2021-09-29,4.569
2021-09-30,4.609
2021-10-01,4.656
2021-10-02,4.673
2021-10-04,4.658
2021-10-05,4.680
2021-10-06,4.709
2021-10-07,4.744
2021-10-08,4.734
2021-10-09,4.762
2021-10-12,4.783
2021-10-13,4.777
2021-10-14,4.813
2021-10-15,4.811
2021-10-16,4.817
2021-10-18,4.806
2021-10-19,4.808
2021-10-20,4.791
2021-10-21,4.811
2021-10-22,4.797
2021-10-23,4.807
2021-10-25,4.803
2021-10-26,4.826
2021-10-27,4.854
2021-10-28,4.850
2021-10-29,4.832
2021-10-30,4.867
2021-11-01,4.867
2021-11-03,4.880
2021-11-04,4.882
2021-11-05,4.890
2021-11-06,4.877
2021-11-09,4.869
2021-11-10,4.876
2021-11-11,4.878
2021-11-13,4.883
2021-11-16,4.914
2021-11-17,4.912
2021-11-18,4.840
2021-11-19,4.763
2021-11-20,4.688
2021-11-23,4.718
2021-11-24,4.727
2021-11-25,4.734
2021-11-26,4.716
2021-11-27,4.588
2021-11-30,4.523
2021-12-01,4.457
2021-12-02,4.466
2021-12-03,4.427
2021-12-04,4.412
2021-12-06,4.412
2021-12-07,4.402
2021-12-08,4.509
2021-12-09,4.537
2021-12-10,4.566
2021-12-11,4.567
2021-12-14,4.591
2021-12-15,4.588
2021-12-16,4.576
2021-12-17,4.581
2021-12-18,4.564
2021-12-20,4.419
2021-12-21,4.387
2021-12-22,4.367
2021-12-23,4.336
2021-12-24,4.371
2021-12-25,4.364
2021-12-30,4.446
2021-12-31,4.460
2022-01-01,4.480
2022-01-05,4.475
2022-01-06,4.492
2022-01-08,4.502
2022-01-10,4.502
2022-01-11,4.506
2022-01-12,4.521
2022-01-13,4.528
2022-01-14,4.523
2022-01-15,4.552
2022-01-18,4.549
2022-01-19,4.571
2022-01-20,4.584
2022-01-21,4.631
2022-01-22,4.638
2022-01-25,4.616
2022-01-26,4.656
2022-01-27,4.742
2022-01-28,4.759
2022-01-29,4.806
2022-02-01,4.808
2022-02-02,4.791
2022-02-03,4.784
2022-02-04,4.790
2022-02-05,4.832
2022-02-08,4.868
2022-02-09,4.849
2022-02-10,4.865
2022-02-11,4.848
2022-02-12,4.934
2022-02-15,5.012
2022-02-16,4.948
2022-02-17,4.947
2022-02-18,4.938
2022-02-19,4.928
2022-02-22,4.924
2022-02-23,4.970
